ID,Discipline,Subdiscipline,Name,Formula,Role,Domain,Description,Derivation,Working Example,Negation/Failure,Source,Status,Assumptions
EQ-0011,Physics,Electromagnetism,Gauss's Law (Electric),∮ E·dA = Q_enc/ε₀,Statistical model,The total electric flux through any closed surface is proportional to the enclosed electric charge. It is one of Maxwell's four equations and is the integral expression of Coulomb's inverse-square law.,"The total electric flux through any closed surface is proportional to the enclosed electric charge. It is one of Maxwell's four equations and is the integral expression of Coulomb's inverse-square law. It is particularly powerful for computing electric fields of highly symmetric charge distributions (spherical, cylindrical, planar).","Start with Coulomb's Law for a point charge Q at the origin: E = Q/(4πε₀r²) r̂. The flux through a sphere of radius R centered on Q is Φ = ∮ E·dA = [Q/(4πε₀R²)] × 4πR² = Q/ε₀. Since the flux depends only on the enclosed charge (not the surface shape), by the divergence theorem: ∮ E·dA = ∭ ∇·E dV = Q_enc/ε₀ for any closed surface. The differential form is ∇·E = ρ/ε₀.","Find E outside a uniformly charged sphere (Q = 10 μC, r = 0.5 m). By symmetry, choose a spherical Gaussian surface at r = 0.5 m: E(4πr²) = Q/ε₀, so E = Q/(4πε₀r²) = (8.99×10⁹)(10×10⁻⁶)/(0.25) = 359,600 V/m ≈ 3.6 × 10⁵ V/m.","Gauss's Law gives incomplete information when: (1) The charge distribution lacks sufficient symmetry — for an irregular charge distribution, the law is still true but E cannot be pulled out of the integral, making it useless for calculating E directly. (2) In materials with polarization, the bound charges modify the effective field; one must use D = ε₀E + P and ∇·D = ρ_free instead.","Maxwell, Phil. Trans. R. Soc. (1865)",consensus,See negation section for detailed failure modes
EQ-0012,Physics,Electromagnetism,Gauss's Law (Magnetic),∮ B·dA = 0,Empirical / phenomenological relation,"The net magnetic flux through any closed surface is always zero, implying that magnetic monopoles do not exist. Every magnetic field line that enters a closed surface must also exit it.","The net magnetic flux through any closed surface is always zero, implying that magnetic monopoles do not exist. Every magnetic field line that enters a closed surface must also exit it. This is one of Maxwell's four equations and reflects the fundamental difference between electric charges (which can be isolated) and magnetic poles (which always come in north–south pairs).","Empirically, no isolated magnetic monopole has ever been observed. Theoretically, all known sources of B are either current loops or magnetic dipoles. For a magnetic dipole, B falls off as 1/r³ and the field lines form closed loops. For any closed surface around a dipole, every field line entering the surface exits elsewhere, so the net flux is zero. In differential form: ∇·B = 0, which follows from B = ∇ × A (the divergence of any curl is identically zero).","Consider a bar magnet inside a closed box. Magnetic field lines emerge from the north pole and loop around to enter the south pole. The flux through the top face of the box (where lines exit) is +Φ. The flux through the bottom (where lines enter) is −Φ. The total flux is +Φ − Φ = 0, confirming the law. If we numerically compute B for a dipole with moment m = 1 A·m² integrated over a sphere of radius 0.1 m, the net flux is exactly zero.","If magnetic monopoles existed (as predicted by some grand unified theories and Dirac's 1931 quantization argument), then ∇·B = μ₀ρ_m ≠ 0, and Gauss's magnetic law would need modification. The flux through a closed surface containing a monopole of strength g would be Φ = μ₀g. Current experimental upper bounds from searches at the LHC and in cosmic rays constrain monopole abundance but have not found one.","Maxwell, Phil. Trans. R. Soc. (1865)",consensus,See negation section for detailed failure modes
EQ-0013,Physics,Electromagnetism,Faraday's Law of Induction,∮ E·dl = −dΦ_B/dt,Conservation law,"A changing magnetic flux through a circuit induces an electromotive force (EMF) equal to the negative rate of change of that flux. This is the operating principle behind electric generators, transformers, and induction motors.","A changing magnetic flux through a circuit induces an electromotive force (EMF) equal to the negative rate of change of that flux. This is the operating principle behind electric generators, transformers, and induction motors. The negative sign (Lenz's Law) ensures the induced current opposes the change in flux, consistent with energy conservation.","Consider a rectangular loop of width w moving with velocity v into a region of uniform magnetic field B. The flux is Φ = B × (area inside field) = Bwx where x = vt. The rate of change is dΦ/dt = Bwv. A free charge q in the moving conductor experiences force F = qv × B, doing work as it moves through the wire, creating an EMF = Bwv = dΦ/dt. The generalization to arbitrary loops and time-varying B fields gives ∮ E·dl = −dΦ_B/dt. In differential form: ∇ × E = −∂B/∂t.","A coil of 100 turns and area 0.01 m² is in a magnetic field that decreases from 0.5 T to 0.1 T in 0.02 s. EMF = −N × dΦ/dt = −100 × (0.01)(0.1 − 0.5)/0.02 = −100 × (−0.2) = +20 V. If the coil resistance is 5 Ω, the induced current is I = 20/5 = 4 A.","Faraday's Law in its integral form can give misleading results when: (1) The 'circuit' is not well-defined — for a spinning Faraday disk (homopolar generator), the flux through the circuit appears not to change, yet an EMF is observed; the resolution requires careful treatment of the motional EMF (v × B) in the rotating frame. (2) In superconductors, the induced currents persist indefinitely and completely cancel any flux change, leading to the Meissner effect where dΦ/dt is forced to zero internally.",Faraday (1831); Maxwell (1865),consensus,See negation section for detailed failure modes
EQ-0014,Physics,Electromagnetism,Ampère–Maxwell Law,∮ B·dl = μ₀(I_enc + ε₀ dΦ_E/dt),Deterministic dynamical system,The line integral of the magnetic field around a closed loop equals μ₀ times the sum of the enclosed conduction current and the displacement current (rate of change of electric flux). Maxwell's addition of the displacement current term was a critical theoretical insight that predicted electromagnetic waves.,The line integral of the magnetic field around a closed loop equals μ₀ times the sum of the enclosed conduction current and the displacement current (rate of change of electric flux). Maxwell's addition of the displacement current term was a critical theoretical insight that predicted electromagnetic waves.,"Ampère's original law ∮ B·dl = μ₀I_enc fails for time-varying fields. Consider a charging capacitor: a current I flows in the wire, but no current crosses the gap between the plates. Taking an Ampèrian loop around the wire and two surfaces — one pierced by the wire (giving I), one passing between the plates (giving 0) — yields a contradiction. Maxwell resolved this by noting that between the plates, E is changing: ε₀ dΦ_E/dt = ε₀ d(EA)/dt = ε₀ A(dE/dt). Since E = σ/ε₀ = Q/(ε₀A), we get ε₀ dΦ_E/dt = dQ/dt = I. Adding this displacement current restores consistency.",A parallel-plate capacitor (plate area A = 0.1 m²) has a changing electric field dE/dt = 10⁶ V/(m·s). The displacement current is I_d = ε₀ A (dE/dt) = (8.85×10⁻¹²)(0.1)(10⁶) = 8.85 × 10⁻⁷ A ≈ 0.885 μA. The B field at radius r = 0.05 m from the axis is B = μ₀I_d r/(2πR²) (for r < R) or B = μ₀I_d/(2πr) (for r > R).,"Without Maxwell's displacement current term: (1) The equations would predict that electromagnetic waves cannot propagate — Ampère's original law with ∇ × B = μ₀J gives no wave solution. (2) Taking the divergence of Ampère's original law gives ∇·J = 0, which contradicts charge conservation (∇·J = −∂ρ/∂t) for time-varying charge distributions.","Maxwell, Phil. Trans. R. Soc. (1865)",consensus,See negation section for detailed failure modes
EQ-0015,Physics,Electromagnetism,Coulomb's Law,F = kq₁q₂/r²,Conservation law,The electrostatic force between two point charges is proportional to the product of their charges and inversely proportional to the square of the distance between them. Like charges repel; unlike charges attract.,The electrostatic force between two point charges is proportional to the product of their charges and inversely proportional to the square of the distance between them. Like charges repel; unlike charges attract. It is the electric analog of Newton's gravitational law and is equivalent to Gauss's Law for static fields.,"Coulomb established this experimentally using a torsion balance. Theoretically, it can be derived from Gauss's Law: for a point charge q₁, the field is E = q₁/(4πε₀r²) r̂ (by symmetry). The force on a test charge q₂ is F = q₂E = q₁q₂/(4πε₀r²) = kq₁q₂/r² where k = 1/(4πε₀) = 8.99 × 10⁹ N·m²/C².","Two charges q₁ = +3 μC and q₂ = −2 μC separated by r = 0.1 m. F = (8.99×10⁹)(3×10⁻⁶)(2×10⁻⁶)/(0.01) = (8.99×10⁹)(6×10⁻¹²)/(10⁻²) = 5.394 N (attractive, since charges are opposite).","Coulomb's Law fails when: (1) Charges are in motion — moving charges produce magnetic fields and the full electromagnetic force is F = q(E + v×B) (Lorentz force), not just the electrostatic term. Two parallel current-carrying wires experience magnetic forces absent from Coulomb's Law. (2) At quantum scales (distances ~ 10⁻¹⁵ m), quantum electrodynamics (QED) replaces the classical 1/r² law with virtual photon exchange, including vacuum polarization corrections that slightly modify the Coulomb potential at very short range.","Coulomb, Mém. Acad. R. Sci. (1785)",consensus,"(1) Charges are in motion — moving charges produce magnetic fields and the full electromagnetic force is F = q(E + v×B) (Lorentz force), not just the electrostatic term."
EQ-0016,Physics,Electromagnetism,Lorentz Force Law,F = q(E + v × B),Deterministic dynamical system,"The total electromagnetic force on a charged particle is the sum of the electric force (qE) and the magnetic force (qv×B). The magnetic force is always perpendicular to the velocity, so it changes the direction of motion but does no work.","The total electromagnetic force on a charged particle is the sum of the electric force (qE) and the magnetic force (qv×B). The magnetic force is always perpendicular to the velocity, so it changes the direction of motion but does no work. This equation, combined with Maxwell's equations, provides a complete classical description of electromagnetic interactions.","The electric force F_E = qE follows directly from the definition of the electric field. The magnetic force F_B = qv×B was established experimentally. It can be derived from special relativity: in the rest frame of a charge near a current-carrying wire, the Lorentz contraction of moving charges in the wire creates a net charge density, producing an electric force. Transforming back to the lab frame, this electric force appears as a velocity-dependent magnetic force qv×B. Einstein showed (1905) that magnetism is a relativistic effect of electricity.",A proton (q = 1.6×10⁻¹⁹ C) moves at v = 10⁶ m/s perpendicular to B = 0.5 T (with E = 0). F = qvB = (1.6×10⁻¹⁹)(10⁶)(0.5) = 8×10⁻¹⁴ N. The radius of circular motion is r = mv/(qB) = (1.67×10⁻²⁷)(10⁶)/((1.6×10⁻¹⁹)(0.5)) = 0.0209 m ≈ 2.1 cm.,"The Lorentz force law is incomplete when: (1) Radiation reaction is significant — an accelerating charge radiates energy (Larmor formula), creating a self-force not included in qE + qv×B. The Abraham–Lorentz force adds a term proportional to the time derivative of acceleration. (2) In quantum electrodynamics, the classical continuous trajectory is replaced by quantum amplitudes, and the Lorentz force is replaced by the QED vertex interaction with virtual photons.","Lorentz, Arch. Néerl. (1895)",consensus,Non-relativistic regime; See negation section for detailed failure modes
EQ-0017,Physics,Electromagnetism,Ohm's Law,V = IR,Constitutive relation,"The voltage across a conductor is proportional to the current through it, with the proportionality constant being the resistance. This is the most widely used equation in electrical engineering, governing the behavior of resistive circuits.","The voltage across a conductor is proportional to the current through it, with the proportionality constant being the resistance. This is the most widely used equation in electrical engineering, governing the behavior of resistive circuits. It is empirical and applies to ohmic (linear) materials over a wide range of conditions.","Microscopically, Ohm's Law can be derived from the Drude model of electron transport. In a conductor, electrons experience an electric field E and collide with the lattice with average time between collisions τ. The drift velocity is v_d = eEτ/m_e. The current density is J = nev_d = (ne²τ/m_e)E = σE, where σ is the conductivity. For a wire of length L and area A: V = EL, I = JA, so V = (L/σA)I = RI, where R = L/(σA) = ρL/A.",A 100 Ω resistor carries 0.5 A of current. The voltage drop is V = IR = (0.5)(100) = 50 V. The power dissipated is P = IV = V²/R = I²R = (0.25)(100) = 25 W.,"Ohm's Law fails for: (1) Non-ohmic devices — a diode has I = I₀(e^(V/V_T) − 1), which is exponentially nonlinear. At V = 0.3 V forward bias, I might be 10 mA; at V = 0.6 V, I could be 1 A — doubling V increases I by 100×, not 2×. (2) Superconductors have R = 0 below the critical temperature — current flows with zero voltage. (3) At very high current densities, resistive heating raises the temperature, changing R and making the V–I relationship nonlinear.","Ohm, Die galvanische Kette (1827)",consensus,"(1) Non-ohmic devices — a diode has I = I₀(e^(V/V_T) − 1), which is exponentially nonlinear."
EQ-0018,Physics,Electromagnetism,Biot–Savart Law,dB = (μ₀/4π)(Idl × r̂)/r²,Statistical model,The infinitesimal magnetic field contribution from a small current element Idl at a distance r. It is the magnetic analog of Coulomb's Law for computing B fields from arbitrary current distributions.,The infinitesimal magnetic field contribution from a small current element Idl at a distance r. It is the magnetic analog of Coulomb's Law for computing B fields from arbitrary current distributions. Integration over the entire current path gives the total magnetic field at any point.,"The Biot–Savart Law is experimentally established from Oersted's discovery (1820) and Biot and Savart's measurements. It can be derived from Ampère's Law and the vector potential: B = ∇ × A, where A(r) = (μ₀/4π) ∫ J(r')/|r−r'| dV'. For a thin wire with J dV' = I dl', taking the curl gives dB = (μ₀/4π) I(dl' × r̂)/r². Consistency with Ampère's Law can be verified by integrating dB around a closed loop encircling the wire.","Find B at the center of a circular loop of radius R = 0.1 m carrying I = 5 A. By symmetry, all dB contributions point along the axis. Integrating: B = μ₀I/(2R) = (4π×10⁻⁷)(5)/(0.2) = π×10⁻⁵ T ≈ 31.4 μT.","The Biot–Savart Law fails when: (1) Currents are time-varying — the law assumes magnetostatics (steady currents). For rapidly changing currents, retardation effects become important and one must use the Jefimenko equations, which include the time delay r/c. (2) For current distributions that do not form closed loops (e.g., a finite wire segment), the Biot–Savart integral alone does not satisfy ∇·B = 0 unless the full circuit is included.","Biot & Savart, Ann. Chim. Phys. (1820)",consensus,(1) Currents are time-varying — the law assumes magnetostatics (steady currents).
EQ-0019,Physics,Electromagnetism,Poynting Vector,S = (1/μ₀)(E × B),Deterministic dynamical system,"The Poynting vector represents the directional energy flux (power per unit area) of an electromagnetic field. Its magnitude gives the rate of energy transfer, and its direction indicates the direction of energy propagation.","The Poynting vector represents the directional energy flux (power per unit area) of an electromagnetic field. Its magnitude gives the rate of energy transfer, and its direction indicates the direction of energy propagation. It is essential for understanding electromagnetic wave energy transport, radiation pressure, and antenna power patterns.","From Maxwell's equations, the energy density of the EM field is u = ½(ε₀E² + B²/μ₀). Taking du/dt and using Maxwell's equations: ∂u/∂t = ε₀E·(∂E/∂t) + (1/μ₀)B·(∂B/∂t). Substituting ∂B/∂t = −∇×E and ∂E/∂t = (1/μ₀ε₀)∇×B − J/ε₀, and using the identity ∇·(E×B) = B·(∇×E) − E·(∇×B), one obtains ∂u/∂t + ∇·S = −J·E (Poynting's theorem), where S = E×B/μ₀ is the energy flux.","A plane EM wave in vacuum has E₀ = 100 V/m. Since B₀ = E₀/c = 3.33×10⁻⁷ T, the average Poynting vector is |S|_avg = E₀²/(2μ₀c) = (10⁴)/[2(4π×10⁻⁷)(3×10⁸)] = 13.3 W/m². This is the intensity of the wave. At 1 m from a 100 W light bulb (assuming uniform radiation): I = P/(4πr²) = 100/(4π) = 7.96 W/m².","The Poynting vector gives paradoxical or misleading results in: (1) Static field configurations — a charged capacitor beside a permanent magnet has S = E×B/μ₀ ≠ 0, suggesting energy flow even though nothing is happening. The resolution is that the Poynting vector describes local energy flow, but the total flux through any closed surface is zero in this case. (2) In nonlinear or dispersive media, the simple S = E×B/μ₀ does not correctly represent the energy velocity; the group velocity must be used instead.","Poynting, Phil. Trans. R. Soc. (1884)",consensus,See negation section for detailed failure modes
EQ-0020,Physics,Thermodynamics & Statistical Mechanics,Ideal Gas Law,PV = nRT,Deterministic dynamical system,"The equation of state for an ideal gas, relating pressure, volume, number of moles, and temperature. It is a combination of Boyle's Law (PV = const at fixed T), Charles's Law (V/T = const at fixed P), and Avogadro's Law (V/n = const at fixed T, P).","The equation of state for an ideal gas, relating pressure, volume, number of moles, and temperature. It is a combination of Boyle's Law (PV = const at fixed T), Charles's Law (V/T = const at fixed P), and Avogadro's Law (V/n = const at fixed T, P). It is the most widely used equation in gas-phase chemistry and thermodynamics.","From the kinetic theory of gases: N molecules of mass m in a cubic box of side L. A molecule hitting a wall transfers momentum 2mv_x. The rate of wall collisions by one molecule is v_x/(2L). The total force on one wall is F = N(2mv_x)(v_x/(2L))/(L²) = Nm<v_x²>/V. By equipartition, ½m<v_x²> = ½k_BT, so P = F/A = Nk_BT/V. Since Nk_B = nR (where n = N/N_A and R = N_Ak_B), we get PV = nRT.","2 moles of gas at T = 300 K in a 0.05 m³ container. P = nRT/V = (2)(8.314)(300)/(0.05) = 4988.4/0.05 = 99,768 Pa ≈ 0.985 atm. This is close to atmospheric pressure, as expected for a reasonable-sized container.","Fails for: (1) High pressures/low temperatures where intermolecular forces matter — at P = 200 atm, CO₂ deviates ~30% from ideal behavior. The van der Waals equation (P + a/V²)(V − b) = RT corrects this. (2) Near the critical point or during phase transitions — at T_c = 304 K for CO₂, the gas liquefies and the ideal gas law is completely invalid. (3) Quantum gases (Bose–Einstein or Fermi gases at very low T) deviate fundamentally from classical ideal behavior.","Clapeyron, J. École Polytech. (1834)",consensus,"(1) High pressures/low temperatures where intermolecular forces matter — at P = 200 atm, CO₂ deviates ~30% from ideal behavior."
EQ-0021,Physics,Thermodynamics & Statistical Mechanics,First Law of Thermodynamics,ΔU = Q − W,Conservation law,"The change in internal energy of a system equals the heat added to the system minus the work done by the system. It is the statement of energy conservation for thermodynamic processes, establishing that internal energy is a state function while heat and work are path-dependent transfer mechanisms.","The change in internal energy of a system equals the heat added to the system minus the work done by the system. It is the statement of energy conservation for thermodynamic processes, establishing that internal energy is a state function while heat and work are path-dependent transfer mechanisms.","The First Law is a generalization of the conservation of energy principle to include thermal energy. Historically, Joule's experiments (1843–1849) demonstrated the mechanical equivalent of heat: stirring water with paddles converts a measured amount of mechanical work W into a temperature rise equivalent to heat Q. Clausius formalized this: if only heat and work cross the system boundary, then by energy conservation, ΔU = Q − W. The internal energy U is proven to be a state function because the integral ∮ (dQ − dW) = 0 around any thermodynamic cycle.","A gas in a piston absorbs Q = 500 J of heat and expands, doing W = 200 J of work on its surroundings. Then ΔU = 500 − 200 = 300 J. The gas's internal energy increased by 300 J, raising its temperature. For an ideal monatomic gas, ΔU = (3/2)nRΔT, so ΔT = 300/((3/2)(1)(8.314)) = 24.1 K for 1 mole.","The First Law does not fail, but can be misapplied: (1) If the system is open (mass crosses boundaries), the simple form must be extended to include enthalpy flux: dU/dt = Q̇ − Ẇ + Σ ṁ_i h_i. (2) In relativistic systems, internal energy includes rest mass energy (E = mc²), so nuclear reactions releasing binding energy require U to account for mass–energy conversion. (3) In cosmological contexts, the expansion of space does work on the vacuum energy in ways not captured by simple PdV work.","Clausius, Ann. Phys. (1850)",consensus,See negation section for detailed failure modes
EQ-0022,Physics,Thermodynamics & Statistical Mechanics,Second Law of Thermodynamics (Entropy),ΔS ≥ Q/T (equality for reversible processes),Statistical model,"The entropy of an isolated system never decreases. For any real (irreversible) process, the total entropy of the universe increases.","The entropy of an isolated system never decreases. For any real (irreversible) process, the total entropy of the universe increases. This law establishes the arrow of time, defines the limits of heat engine efficiency, and explains why certain processes are spontaneous while their reverses are not.","Clausius proved this by analyzing the Carnot cycle. For any reversible cycle: ∮ dQ_rev/T = 0, which defines entropy as a state function via dS = dQ_rev/T. For an irreversible process between states A and B: ΔS = S_B − S_A > ∫ dQ/T (the Clausius inequality). For an isolated system (Q = 0), this gives ΔS ≥ 0. The statistical interpretation (Boltzmann): S = k_B ln Ω. Since systems evolve toward macrostates with the largest number of microstates Ω, entropy increases.","1 kg of water at 80°C mixed with 1 kg at 20°C. Final temp: 50°C. Entropy change: ΔS_hot = mc ln(T_f/T_h) = (1)(4186)ln(323/353) = −371 J/K. ΔS_cold = (1)(4186)ln(323/293) = +412 J/K. Total ΔS = −371 + 412 = +41 J/K > 0. Entropy increases, confirming irreversibility.","Apparent violations: (1) A refrigerator moves heat from cold to hot, apparently decreasing entropy of the cold reservoir. But the compressor does work, generating more entropy in the hot reservoir. Net ΔS_universe > 0. (2) Living organisms create local order (low entropy), but metabolic processes produce waste heat that increases environmental entropy by a larger amount. (3) Maxwell's Demon paradox: a demon sorting fast/slow molecules would violate the 2nd law, but Landauer showed (1961) that erasing the demon's memory generates at least k_BT ln 2 of entropy per bit.","Clausius, Ann. Phys. (1865)",consensus,See negation section for detailed failure modes
